species,year,w,alpha,in.hull,outlier,total
bchu,2008,0,5,6,0,5
bchu,2008,4,5,2,0,2
bchu,2008,5,5,1,0,1
bchu,2008,7,5,2,0,2
bchu,2008,8,5,1,0,1
bchu,2008,9,5,5,0,5
bchu,2008,10,5,8,0,8
bchu,2008,11,1.5,23,6,20
bchu,2008,12,2.3,22,3,20
bchu,2008,13,2.1,28,4,27
bchu,2008,14,1.6,49,6,39
bchu,2008,15,1.5,27,20,38
bchu,2008,16,2.4,52,5,47
bchu,2008,17,1.4,55,7,54
bchu,2008,18,2,71,8,63
bchu,2008,19,1.9,93,11,83
bchu,2008,20,2.1,67,14,60
bchu,2008,21,2.3,108,13,94
bchu,2008,22,1.8,79,20,75
bchu,2008,23,1.7,57,22,61
bchu,2008,24,2.4,78,8,66
bchu,2008,25,2.6,63,6,61
bchu,2008,26,2.5,63,8,62
bchu,2008,27,1.7,28,23,42
bchu,2008,28,1.7,44,22,55
bchu,2008,29,3.3,39,4,39
bchu,2008,30,2,45,15,53
bchu,2008,31,2.4,34,10,41
bchu,2008,32,1.6,34,17,43
bchu,2008,33,2.7,37,11,46
bchu,2008,34,1.4,15,18,30
bchu,2008,35,2.9,50,5,44
bchu,2008,36,1.7,32,26,46
bchu,2008,37,4,44,6,41
bchu,2008,38,2.8,63,7,55
bchu,2008,39,2.8,69,8,58
bchu,2008,40,2.6,59,7,53
bchu,2008,41,4.5,39,5,33
bchu,2008,42,3.1,44,11,48
bchu,2008,43,1.7,52,10,46
bchu,2008,44,1.5,38,17,41
bchu,2008,45,2,30,10,33
bchu,2008,46,2.4,49,6,41
bchu,2008,47,2.8,23,10,23
bchu,2008,48,2.4,13,9,18
bchu,2008,49,2.7,11,13,16
bchu,2008,50,5,10,0,8
bchu,2008,51,5,3,0,2
bchu,2008,52,5,4,0,3
bchu,2008,53,5,3,0,3
bchu,2008,54,5,2,0,2
bchu,2008,55,5,1,0,1
bchu,2008,57,5,2,0,2
bchu,2008,59,5,1,0,1
bchu,2009,0,5,6,0,4
bchu,2009,1,5,1,0,1
bchu,2009,2,5,1,0,1
bchu,2009,5,5,6,0,3
