species,year,w,alpha,in.hull,outlier,total
cahu,2008,0,5,6,0,4
cahu,2008,1,5,2,0,2
cahu,2008,2,5,2,0,2
cahu,2008,4,5,1,0,1
cahu,2008,6,5,3,0,3
cahu,2008,7,5,5,0,4
cahu,2008,8,5,7,0,7
cahu,2008,9,5,5,0,5
cahu,2008,10,6.43999999999999,12,4,12
cahu,2008,11,6.39999999999999,21,2,18
cahu,2008,12,1.8,13,16,21
cahu,2008,13,5,15,0,8
cahu,2008,14,2.4,14,10,18
cahu,2008,15,3.8,10,6,13
cahu,2008,16,4.1,16,2,15
cahu,2008,17,5,12,0,12
cahu,2008,18,2,13,8,20
cahu,2008,19,5,9,2,11
cahu,2008,20,5,7,0,7
cahu,2008,21,5,15,0,12
cahu,2008,22,1.4,5,16,19
cahu,2008,23,5,6,0,5
cahu,2008,24,5,13,0,9
cahu,2008,25,2.9,8,10,13
cahu,2008,26,5,15,0,10
cahu,2008,27,5,13,0,8
cahu,2008,28,6.89999999999999,9,7,11
cahu,2008,29,5,11,0,7
cahu,2008,30,7.39999999999999,16,2,12
cahu,2008,31,4.9,10,6,13
cahu,2008,32,4.7,20,2,19
cahu,2008,33,5,5,0,5
cahu,2008,34,5,8,0,8
cahu,2008,35,5,11,0,10
cahu,2008,36,5,14,0,14
cahu,2008,37,5,3,0,3
cahu,2008,38,5,6,0,5
cahu,2009,0,5,7,0,5
cahu,2009,2,5,1,0,1
cahu,2009,6,5,1,0,1
cahu,2009,7,5,3,0,3
cahu,2009,8,5,3,0,3
cahu,2009,9,5,7,0,7
cahu,2009,10,5,7,0,7
cahu,2009,11,6.19999999999999,16,2,12
cahu,2009,12,3.7,23,5,21
cahu,2009,13,1.9,15,15,22
cahu,2009,14,2.5,32,3,25
cahu,2009,15,4.3,26,2,22
cahu,2009,16,2.7,41,5,39
cahu,2009,17,1.4,29,4,22
cahu,2009,18,1.6,29,12,33
cahu,2009,19,3.6,28,3,26
cahu,2009,20,5.2,20,3,15
cahu,2009,21,1.8,24,9,27
cahu,2009,22,2.7,41,5,38
cahu,2009,23,1.6,29,10,32
cahu,2009,24,3.2,22,3,22
cahu,2009,25,2.5,11,14,21
cahu,2009,26,4.5,21,3,19
cahu,2009,27,4.7,27,2,25
cahu,2009,28,2,4,12,16
cahu,2009,29,2,16,12,24
cahu,2009,30,6.09999999999999,17,3,17
cahu,2009,31,3.8,24,3,22
cahu,2009,32,3.5,25,6,25
cahu,2009,33,2.1,30,11,31
cahu,2009,34,4.3,32,4,27
cahu,2009,35,3.7,23,9,24
cahu,2009,36,6.73999999999999,17,5,14
cahu,2009,37,3.8,22,3,21
cahu,2009,38,2.3,19,0,13
cahu,2009,39,1.9,15,10,21
cahu,2009,40,3.3,15,4,15
cahu,2009,41,5,9,0,4
cahu,2009,42,5,5,0,3
cahu,2009,43,5,4,0,3
cahu,2009,44,5,2,0,2
cahu,2009,45,5,1,0,1
cahu,2010,0,5,8,0,5
cahu,2010,2,5,1,0,1
cahu,2010,6,5,2,0,2
cahu,2010,8,5,5,0,3
cahu,2010,9,5,11,0,9
cahu,2010,10,3.5,22,3,18
cahu,2010,11,1.6,12,12,20
cahu,2010,12,1.8,30,11,30
cahu,2010,13,1.8,22,15,31
cahu,2010,14,2.4,40,5,36
cahu,2010,15,3.7,56,7,53
cahu,2010,16,2.6,54,6,42
cahu,2010,17,2.7,44,5,33
cahu,2010,18,1.5,42,21,46
cahu,2010,19,1.4,37,26,45
cahu,2010,20,1.5,28,18,35
cahu,2010,21,1.8,29,22,44
cahu,2010,22,2.5,51,5,45
cahu,2010,23,1.8,28,13,33
cahu,2010,24,3,21,3,17
cahu,2010,25,3.1,24,10,22
cahu,2010,26,2.6,36,5,33
cahu,2010,27,3.5,36,4,32
cahu,2010,28,2,25,13,27
cahu,2010,29,2,19,20,25
cahu,2010,30,3.1,22,12,22
cahu,2010,31,2.6,28,8,30
cahu,2010,32,5.2,21,12,22
cahu,2010,33,2,12,18,26
cahu,2010,34,4.4,16,2,18
cahu,2010,35,3.2,12,7,17
cahu,2010,36,5,15,0,14
cahu,2010,37,5.69999999999999,14,2,11
cahu,2010,38,5,13,0,12
cahu,2010,39,5,10,0,10
cahu,2010,40,5,7,0,7
cahu,2010,41,5,1,0,1
cahu,2010,42,5,2,0,2
cahu,2010,43,5,1,0,1
cahu,2010,48,5,1,0,1
cahu,2010,49,5,1,0,1
cahu,2011,0,5,15,0,9
cahu,2011,3,5,2,0,2
cahu,2011,4,5,1,0,1
cahu,2011,5,5,3,0,2
cahu,2011,6,5,3,0,3
cahu,2011,7,5,3,0,2
cahu,2011,8,5,1,0,1
cahu,2011,9,5,5,0,4
cahu,2011,11,5,11,0,9
cahu,2011,12,5,11,0,9
cahu,2011,13,1.8,16,2,13
cahu,2011,14,1.4,11,10,13
cahu,2011,15,4.3,12,6,18
cahu,2011,16,3.4,15,5,18
cahu,2011,17,2.3,35,4,25
cahu,2011,18,2.6,36,5,31
cahu,2011,19,5.1,38,4,31
cahu,2011,20,2.6,41,5,34
cahu,2011,21,1.7,43,13,43
cahu,2011,22,1.5,23,17,28
cahu,2011,23,3.7,43,5,35
