species,year,w,alpha,in.hull,outlier,total
rthu,2008,0,1.4,262,119,150
rthu,2008,1,5,13,0,10
rthu,2008,2,5,14,0,9
rthu,2008,3,2.6,15,18,20
rthu,2008,4,5.93999999999999,14,4,14
rthu,2008,5,2.5,27,14,31
rthu,2008,6,2.3,36,4,31
rthu,2008,7,2.1,24,14,28
rthu,2008,8,2,66,8,53
rthu,2008,9,1.7,115,13,96
rthu,2008,10,1.8,119,16,103
rthu,2008,11,1.8,165,18,137
rthu,2008,12,1.4,250,27,199
rthu,2008,13,1.3,320,35,275
rthu,2008,14,1.5,306,33,242
rthu,2008,15,1.3,445,48,368
rthu,2008,16,1.2,580,76,481
rthu,2008,17,1.2,463,53,365
rthu,2008,18,1.2,389,53,322
rthu,2008,19,1.3,361,41,315
rthu,2008,20,1.4,333,37,297
rthu,2008,21,1.8,283,32,226
rthu,2008,22,1.2,331,48,275
rthu,2008,23,1.5,378,54,334
rthu,2008,24,1.3,291,40,254
rthu,2008,25,1.4,314,36,259
rthu,2008,26,1.4,322,43,270
rthu,2008,27,1.5,313,34,251
rthu,2008,28,1.6,255,42,209
rthu,2008,29,1.5,309,47,240
rthu,2008,30,1.4,354,40,273
rthu,2008,31,1.5,320,40,257
rthu,2008,32,1.5,341,36,232
rthu,2008,33,1.4,387,62,296
rthu,2008,34,1.4,487,57,349
rthu,2008,35,1.5,387,68,269
rthu,2008,36,1.5,531,66,406
rthu,2008,37,1.3,652,71,456
rthu,2008,38,1.5,465,54,335
rthu,2008,39,1.2,523,60,374
rthu,2008,40,1.4,465,73,358
rthu,2008,41,1.5,454,55,366
rthu,2008,42,1.8,228,25,167
rthu,2008,43,1.8,213,24,154
rthu,2008,44,1.9,158,18,118
rthu,2008,45,3.4,80,9,66
rthu,2008,46,1.4,38,35,51
rthu,2008,47,2.1,17,21,24
rthu,2008,48,4.1,20,10,22
rthu,2009,0,1.6,383,44,186
rthu,2009,1,5,15,0,11
rthu,2009,2,1.7,7,11,18
rthu,2009,3,4.4,6,11,15
rthu,2009,4,4.9,33,4,27
rthu,2009,5,1.5,31,9,32
rthu,2009,6,2.3,60,6,49
rthu,2009,7,1.8,125,15,102
rthu,2009,8,1.7,106,12,85
rthu,2009,9,1.2,175,22,148
rthu,2009,10,1.2,320,36,234
rthu,2009,11,1.2,332,21,256
rthu,2009,12,1.2,432,24,354
rthu,2009,13,1.2,622,37,484
rthu,2009,14,1.2,914,37,698
rthu,2009,15,1.2,666,63,495
rthu,2009,16,1.2,911,66,679
rthu,2009,17,1.2,793,74,659
rthu,2009,18,1.2,495,49,432
rthu,2009,19,1.2,483,45,404
rthu,2009,20,1.2,508,46,454
rthu,2009,21,1.2,511,42,432
rthu,2009,22,1.2,293,51,261
rthu,2009,23,1.2,439,39,362
rthu,2009,24,1.2,388,51,347
rthu,2009,25,1.2,449,48,386
rthu,2009,26,1.4,367,39,315
rthu,2009,27,1.5,398,44,339
rthu,2009,28,1.4,377,51,317
rthu,2009,29,1.5,325,37,247
rthu,2009,30,1.3,388,51,319
rthu,2009,31,1.2,411,60,333
rthu,2009,32,1.5,480,59,373
rthu,2009,33,1.2,457,78,360
rthu,2009,34,1.2,581,59,442
rthu,2009,35,1.2,684,53,505
rthu,2009,36,1.2,576,64,415
rthu,2009,37,1.2,925,49,657
rthu,2009,38,1.2,990,56,703
rthu,2009,39,1.2,633,78,471
rthu,2009,40,1.2,634,64,452
rthu,2009,41,1.2,518,67,427
rthu,2009,42,1.5,376,43,288
rthu,2009,43,2,247,33,179
rthu,2009,44,1.8,202,32,158
rthu,2009,45,1.9,151,17,117
rthu,2009,46,2.1,95,11,74
rthu,2009,47,2.3,59,21,56
rthu,2009,48,1.4,46,19,43
rthu,2009,49,1.5,56,18,57
rthu,2009,50,2,13,23,24
rthu,2009,51,3.4,21,12,25
rthu,2009,52,5.2,39,5,29
rthu,2010,0,1.3,651,71,255
rthu,2010,1,5,34,7,24
rthu,2010,2,3.2,25,17,26
rthu,2010,3,3,45,6,37
rthu,2010,4,4.1,55,7,43
rthu,2010,5,1.7,78,15,59
rthu,2010,6,1.6,112,13,86
rthu,2010,7,1.8,124,13,111
rthu,2010,8,1.8,154,17,126
rthu,2010,9,1.4,263,40,177
rthu,2010,10,1.4,318,38,240
rthu,2010,11,1.2,290,37,227
rthu,2010,12,1.2,596,26,456
rthu,2010,13,1.2,743,34,593
rthu,2010,14,1.2,810,44,643
rthu,2010,15,1.2,791,59,637
rthu,2010,16,1.2,844,50,671
rthu,2010,17,1.2,768,45,642
rthu,2010,18,1.2,526,51,441
rthu,2010,19,1.2,541,69,480
rthu,2010,20,1.2,543,73,484
rthu,2010,21,1.2,510,42,417
rthu,2010,22,1.3,437,47,356
rthu,2010,23,1.2,458,37,378
rthu,2010,24,1.2,491,49,408
rthu,2010,25,1.2,415,52,331
rthu,2010,26,1.2,468,63,386
rthu,2010,27,1.2,509,35,384
rthu,2010,28,1.2,436,47,335
rthu,2010,29,1.4,502,60,404
rthu,2010,30,1.2,635,74,495
rthu,2010,31,1.2,651,49,501
