species,year,w,alpha,in.hull,outlier,total
ruhu,2008,0,5,7,0,5
ruhu,2008,1,5,1,0,1
ruhu,2008,2,5,1,0,1
ruhu,2008,5,5,1,0,1
ruhu,2008,7,5,2,0,2
ruhu,2008,8,5,2,0,2
ruhu,2008,9,5,3,0,3
ruhu,2008,10,5,4,0,3
ruhu,2008,11,5,9,0,8
ruhu,2008,12,5,10,0,8
ruhu,2008,13,5,10,0,10
ruhu,2008,14,5,15,0,11
ruhu,2008,15,5,14,0,13
ruhu,2008,16,2,28,4,28
ruhu,2008,17,1.4,24,21,37
ruhu,2008,18,1.7,48,10,43
ruhu,2008,19,1.4,55,10,54
ruhu,2008,20,1.9,60,6,52
ruhu,2008,21,2.3,54,5,42
ruhu,2008,22,3,55,7,45
ruhu,2008,23,2.7,73,9,66
ruhu,2008,24,2.1,84,10,71
ruhu,2008,25,1.9,62,10,55
ruhu,2008,26,1.5,71,8,62
ruhu,2008,27,2,71,8,57
ruhu,2008,28,1.5,47,13,44
ruhu,2008,29,1.4,34,14,40
ruhu,2008,30,3,57,7,48
ruhu,2008,31,2.5,43,9,44
ruhu,2008,32,4.1,27,10,26
ruhu,2008,33,4,56,7,53
ruhu,2008,34,3.9,44,6,43
ruhu,2008,35,3,36,12,41
ruhu,2008,36,4.7,45,9,45
ruhu,2008,37,2.2,34,16,41
ruhu,2008,38,1.9,42,21,53
ruhu,2008,39,2.8,48,15,45
ruhu,2008,40,2.3,70,8,58
ruhu,2008,41,4.2,63,7,53
ruhu,2008,42,1.4,44,33,58
ruhu,2008,43,3.1,68,12,58
ruhu,2008,44,3.8,66,13,58
ruhu,2008,45,2.9,58,5,51
ruhu,2008,46,3.9,45,7,40
ruhu,2008,47,1.4,27,33,50
ruhu,2008,48,2.7,52,10,52
ruhu,2008,49,1.8,33,18,40
ruhu,2008,50,1.7,10,22,28
ruhu,2008,51,1.6,28,23,38
ruhu,2008,52,2.8,9,10,16
ruhu,2008,53,5,10,0,8
ruhu,2008,54,5,11,0,9
ruhu,2008,55,5,4,0,4
ruhu,2008,56,5,5,0,4
ruhu,2008,57,5,6,0,4
ruhu,2008,58,5,2,0,2
ruhu,2008,60,5,1,0,1
ruhu,2008,62,5,1,0,1
ruhu,2009,0,5,11,0,8
ruhu,2009,1,5,1,0,1
ruhu,2009,4,5,3,0,3
ruhu,2009,5,5,9,0,6
ruhu,2009,6,5,5,0,4
ruhu,2009,7,5,5,0,5
ruhu,2009,8,5,8,0,7
ruhu,2009,9,5,9,0,9
ruhu,2009,10,1.8,8,11,15
ruhu,2009,11,2.4,13,10,17
ruhu,2009,12,2.9,17,11,20
ruhu,2009,13,1.5,52,6,50
ruhu,2009,14,1.6,43,11,38
ruhu,2009,15,2.4,57,10,46
ruhu,2009,16,1.4,93,13,81
ruhu,2009,17,1.2,98,10,80
ruhu,2009,18,2.2,75,9,57
ruhu,2009,19,1.5,118,14,99
ruhu,2009,20,1.4,95,20,88
ruhu,2009,21,2,80,7,74
ruhu,2009,22,1.4,91,10,81
ruhu,2009,23,1.9,96,16,96
ruhu,2009,24,2,99,10,87
ruhu,2009,25,1.5,102,12,83
ruhu,2009,26,1.4,83,19,82
ruhu,2009,27,2.2,78,9,64
ruhu,2009,28,2.9,55,7,50
ruhu,2009,29,1.6,82,15,77
ruhu,2009,30,1.3,98,12,88
ruhu,2009,31,1.6,85,10,78
ruhu,2009,32,2.5,59,7,51
ruhu,2009,33,2.8,75,9,66
ruhu,2009,34,3.6,75,16,72
ruhu,2009,35,2.3,75,22,76
ruhu,2009,36,2.5,87,10,79
ruhu,2009,37,2.3,91,11,77
ruhu,2009,38,2.3,106,12,89
ruhu,2009,39,2.1,72,24,70
ruhu,2009,40,2.5,114,13,94
ruhu,2009,41,1.6,124,12,93
ruhu,2009,42,2.4,112,13,94
ruhu,2009,43,2,144,15,118
ruhu,2009,44,1.7,126,15,104
ruhu,2009,45,1.5,70,32,74
ruhu,2009,46,1.8,56,27,56
ruhu,2009,47,1.8,64,21,61
ruhu,2009,48,2.4,57,15,54
ruhu,2009,49,2.9,29,16,36
ruhu,2009,50,2.2,19,15,23
ruhu,2009,51,1.8,17,12,24
ruhu,2009,52,5,15,0,12
ruhu,2009,53,5,10,0,8
ruhu,2009,54,5,9,0,6
ruhu,2009,55,5,8,0,7
ruhu,2009,56,5,3,0,2
ruhu,2009,57,5,2,0,2
ruhu,2009,58,5,2,0,2
ruhu,2009,59,5,2,1,3
ruhu,2009,61,5,2,0,2
ruhu,2009,62,5,2,0,1
ruhu,2009,64,5,1,0,1
ruhu,2010,0,5,14,0,11
ruhu,2010,1,5,3,0,2
ruhu,2010,5,5,3,0,2
ruhu,2010,6,5,3,0,3
ruhu,2010,7,5,7,0,3
ruhu,2010,8,5,2,0,2
ruhu,2010,9,5,3,0,3
ruhu,2010,10,5,9,0,9
ruhu,2010,11,7.83999999999999,15,7,19
ruhu,2010,12,10.64,9,7,9
ruhu,2010,13,2.1,27,6,27
ruhu,2010,14,1.7,62,7,58
ruhu,2010,15,3.1,67,7,53
ruhu,2010,16,1.3,75,9,61
ruhu,2010,17,1.5,95,9,79
ruhu,2010,18,1.4,120,17,96
